ProDataCSV

Title: Sat Mar 09 13:49:13 2024

Remarks:
#User: SX User
#Date: 2024/03/09
#HV (Absorbance channel): 289.551
#Samples per point: 240
#Sample period: 12.5 us
#Temperature: 19.78 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Mar 09 13:59:26 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 3s,linear,oversampled,external trigger,pressure hold in operation
Repeat,5 repeats in set., -iter option selected
Wavelength,Wavelength: 250nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,250
Time,Repeat
,0,1,2,3,4,
0.003,0.0685271,0.0685414,0.0689752,0.0687725,0.0692247
0.006,0.0709143,0.0714023,0.0720918,0.0714519,0.0719883
0.009,0.0734431,0.0740571,0.0742499,0.0740863,0.0745552
0.012,0.0755114,0.075942,0.0761366,0.075918,0.0764179
0.015,0.0769386,0.0773562,0.0777196,0.0772978,0.0780366
0.018,0.0785857,0.0791662,0.0793169,0.0791369,0.0798174
0.021,0.0806797,0.0806238,0.0811386,0.0809806,0.0814915
0.024,0.082173,0.0819446,0.0822663,0.0821856,0.0827646
0.027,0.0828438,0.0828876,0.0830389,0.0830493,0.0834565
0.03,0.083173,0.0835987,0.0838568,0.0835837,0.0840654
0.033,0.083854,0.0843906,0.0844471,0.0842096,0.0848578
0.036,0.0843721,0.0849723,0.0851729,0.0850587,0.0855246
0.039,0.085111,0.0854681,0.0858437,0.0857628,0.0863263
0.042,0.0857349,0.086152,0.0862559,0.0864417,0.0870145
0.045,0.0859341,0.0865324,0.0867549,0.0869215,0.0873038
0.048,0.0862221,0.0867963,0.0870622,0.0870265,0.0876318
0.051,0.0864295,0.0870396,0.0870245,0.0871971,0.0877071
0.054,0.0864707,0.0870081,0.0872849,0.0872909,0.0878807
0.057,0.0867206,0.0871913,0.0875063,0.0874538,0.0882776
0.06,0.086809,0.0874113,0.0875106,0.0876806,0.0883003
0.063,0.086753,0.087325,0.0877619,0.0876244,0.088355
0.066,0.0869494,0.0874732,0.0877413,0.0876244,0.0884281
0.069,0.0868322,0.0873982,0.0875386,0.0876899,0.0882066
0.072,0.0867535,0.0871353,0.0874854,0.0874381,0.0881632
0.075,0.0867482,0.087129,0.0873118,0.0873756,0.088131
0.078,0.0864143,0.0869111,0.0872348,0.0873317,0.087892
0.081,0.086389,0.0869445,0.0873515,0.0871614,0.0880255
0.084,0.0864839,0.0869199,0.0870992,0.0871194,0.0878488
0.087,0.086264,0.0866798,0.0868281,0.087039,0.0875455
0.09,0.0861885,0.0865067,0.0866501,0.0868185,0.0874902
0.093,0.0858734,0.0864325,0.0863619,0.0867537,0.0872533
0.096,0.0854613,0.0862219,0.0863714,0.0864732,0.0870778
0.099,0.085399,0.0861523,0.0862068,0.0861373,0.0869918
0.102,0.0853381,0.0858998,0.0859712,0.0860944,0.0867265
0.105,0.085089,0.0855464,0.0857818,0.0857417,0.086701
0.108,0.0851016,0.0854105,0.0854931,0.0856383,0.0865065
0.111,0.0847139,0.0851704,0.0853203,0.0855592,0.0861556
0.114,0.0842855,0.0849404,0.0851551,0.0851563,0.0859186
0.117,0.0841267,0.0847895,0.0847069,0.0848206,0.0855576
0.12,0.0838358,0.084342,0.084497,0.0845177,0.0852279
0.123,0.0837411,0.0841388,0.0843269,0.0842749,0.0852244
0.126,0.0836507,0.0839918,0.0840601,0.0842987,0.0849344
