ProDataCSV

Title: Mon Mar 18 17:06:37 2024

Remarks:
#User: SX User
#Date: 2024/03/18
#HV (Absorbance channel): 238.586
#Samples per point: 4
#Sample period: 12.5 us
#Temperature: 19.82 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Mon Mar 18 17:17:12 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 0.05s,linear,oversampled,external trigger,pressure hold in operation
Repeat,5 repeats in set., -iter option selected
Wavelength,Wavelength: 263nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,263
Time,Repeat
,0,1,2,3,4,
5e-005,0.0410359,0.0461387,0.0400714,0.0414138,0.0400769
0.0001,0.0405422,0.0461749,0.0399465,0.0413244,0.0400747
0.00015,0.040665,0.0463389,0.0401907,0.0410191,0.0401349
0.0002,0.0410381,0.0466954,0.0400345,0.0407354,0.0399442
0.00025,0.0408281,0.0469537,0.0397001,0.040751,0.0399242
0.0003,0.0407566,0.0463287,0.0396968,0.0406896,0.0401238
0.00035,0.0404685,0.0442577,0.0397113,0.0409733,0.0401327
0.0004,0.0405612,0.0413848,0.0399587,0.0404384,0.0397547
0.00045,0.0407566,0.040569,0.0400067,0.0397614,0.0394506
0.0005,0.0409007,0.040348,0.0400167,0.0395275,0.0395397
0.00055,0.0408158,0.0403179,0.0400725,0.0395553,0.039786
0.0006,0.0407968,0.0404808,0.0402275,0.0394072,0.0398707
0.00065,0.0405846,0.0405668,0.0402487,0.0394128,0.0399153
0.0007,0.0408571,0.0402442,0.0403368,0.0395498,0.0399643
0.00075,0.0413456,0.0401204,0.0403402,0.0397547,0.0401338
0.0008,0.041274,0.0402532,0.0405958,0.0398172,0.0402286
0.00085,0.0409912,0.0402197,0.0407555,0.0395553,0.0402275
0.0009,0.0407454,0.0403078,0.0408482,0.0396534,0.0403469
0.00095,0.0406416,0.0403335,0.0409197,0.0396756,0.0403669
0.001,0.0409208,0.0402119,0.0410806,0.0397425,0.0405054
0.00105,0.0411354,0.0401829,0.0411857,0.0398762,0.040627
0.0011,0.0416085,0.0405444,0.0412304,0.0401227,0.0409018
0.00115,0.041754,0.0406684,0.0414698,0.0401706,0.0411388
0.0012,0.0418313,0.0406918,0.0414888,0.0403033,0.0411331
0.00125,0.0414452,0.0409946,0.0416455,0.0405042,0.0412282
0.0013,0.0413725,0.0412014,0.0417641,0.0407655,0.0413456
0.00135,0.0416611,0.0415134,0.0420732,0.0411309,0.0414217
0.0014,0.0417988,0.0415828,0.0424565,0.0411611,0.0416544
