ProDataCSV

Title: Sat Jun 22 19:31:15 2024

Remarks:
#User: SX User
#Date: 2024/06/22
#HV (Absorbance channel): 206.528
#Samples per point: 9600
#Sample period: 12.5 us
#Temperature: 19.87 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Jun 22 19:45:01 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 120s,linear,oversampled,external trigger,pressure hold off (pressure released immediately)
Repeat,3 repeats in set., -iter option selected
Wavelength,Wavelength: 305nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,305
13.92,-0.00450335,-0.00424109,-0.0043144
14.04,-0.00457851,-0.00425688,-0.00439302
14.16,-0.00454158,-0.00423222,-0.00443454
14.28,-0.0043961,-0.00412382,-0.00441691
14.4,-0.0042738,-0.00404028,-0.00440814
14.52,-0.00419043,-0.00401494,-0.00435561
14.64,-0.00416233,-0.00401319,-0.00429964
14.76,-0.00416433,-0.00402304,-0.00421315
14.88,-0.004135,-0.00405274,-0.00415562
15,-0.00405746,-0.00407556,-0.00417526
15.12,-0.00397708,-0.004141,-0.004191
15.24,-0.0039817,-0.00411551,-0.00419074
15.36,-0.00403915,-0.00408054,-0.00418433
15.48,-0.00413885,-0.00402596,-0.00419131
15.6,-0.00420161,-0.00400545,-0.00410813
15.72,-0.00414736,-0.00402007,-0.00399909
15.84,-0.00407187,-0.00408941,-0.00393034
15.96,-0.00402037,-0.00411951,-0.00394163
16.08,-0.00396297,-0.00400945,-0.00397354
16.2,-0.00390146,-0.00388514,-0.00401129
16.32,-0.00384629,-0.00389284,-0.00400534
16.44,-0.00392644,-0.00380421,-0.00396112
16.56,-0.00388755,-0.00378805,-0.00392552
16.68,-0.00381838,-0.0037435,-0.00390695
16.8,-0.00373041,-0.00362517,-0.00384968
16.92,-0.00369217,-0.00345766,-0.00375263
17.04,-0.00362173,-0.0033651,-0.00373421
17.16,-0.00356931,-0.00332575,-0.00375089
17.28,-0.00349022,-0.00338349,-0.00369325
17.4,-0.00342844,-0.00345628,-0.00371409
17.52,-0.00339613,-0.00350317,-0.0037476
17.64,-0.00338395,-0.00348047,-0.00379621
17.76,-0.00335642,-0.00345925,-0.00370716
17.88,-0.00335369,-0.00343095,-0.00363323
18,-0.00333186,-0.00339741,-0.00366332
18.12,-0.00334255,-0.00333407,-0.00377722
18.24,-0.00335005,-0.00330658,-0.00380678
18.36,-0.0033652,-0.00335657,-0.00382413
18.48,-0.00331336,-0.00341036,-0.00375561
18.6,-0.00332123,-0.00341159,-0.00363498
18.72,-0.00334917,-0.00337193,-0.0035403
18.84,-0.00338472,-0.0033203,-0.00347805
18.96,-0.0033893,-0.00332117,-0.00336572
19.08,-0.00334748,-0.00331773,-0.0032349
19.2,-0.00324235,-0.00327257,-0.00320566
19.32,-0.00316588,-0.00329795,-0.00324539
19.44,-0.00318942,-0.00336017,-0.00330941
19.56,-0.00316876,-0.0032922,-0.00332698
19.68,-0.00307896,-0.00323757,-0.00338452
19.8,-0.00302067,-0.00320762,-0.00341883
19.92,-0.00303229,-0.00316588,-0.00341606
20.04,-0.00310862,-0.00312512,-0.00337979
20.16,-0.00314656,-0.00317493,-0.00340486
20.28,-0.00319096,-0.00320433,-0.00343712
20.4,-0.00321594,-0.00323583,-0.00337625
20.52,-0.0031665,-0.00325464,-0.00322072
20.64,-0.00310287,-0.0032496,-0.00315581
20.76,-0.00306329,-0.00322755,-0.00309937
20.88,-0.00296781,-0.00313114,-0.00314579
21,-0.00288569,-0.00308066,-0.00324158
21.12,-0.00283477,-0.00300478,-0.00325972
21.24,-0.00288131,-0.00300169,-0.00317092
21.36,-0.00294195,-0.00293932,-0.00312739
21.48,-0.00296524,-0.00292991,-0.00313011
21.6,-0.00293541,-0.00284413,-0.00315982
21.72,-0.00288769,-0.00276815,-0.00321311
21.84,-0.00277937,-0.00266387,-0.00313695
21.96,-0.00274253,-0.00258277,-0.00305377
22.08,-0.00278251,-0.00254211,-0.00302344
22.2,-0.00283004,-0.00259208,-0.00300426
22.32,-0.00283857,-0.00266073,-0.00297887
22.44,-0.00290703,-0.00269211,-0.00292436
22.56,-0.00293583,-0.0026897,-0.00288152
22.68,-0.00292585,-0.00268182,-0.00284284
22.8,-0.00288455,-0.00267143,-0.00284778
22.92,-0.00282258,-0.00262996,-0.00286223
23.04,-0.00272633,-0.00257849,-0.0028503
23.16,-0.00263382,-0.00258081,-0.00288245
23.28,-0.00257752,-0.00263937,-0.00284403
23.4,-0.00254159,-0.00262486,-0.00279449
23.52,-0.00260484,-0.00257855,-0.00272885
23.64,-0.00255827,-0.00257767,-0.0026881
23.76,-0.00249022,-0.0025488,-0.00272129
23.88,-0.00247375,-0.00254746,-0.00281481
24,-0.00245048,-0.00259368,-0.00291207
24.12,-0.00243807,-0.00260242,-0.00296699
24.24,-0.00247406,-0.00256486,-0.00300648
24.36,-0.00245779,-0.00252574,-0.00297989
24.48,-0.00238726,-0.002472,-0.00290513
24.6,-0.00235482,-0.00243879,-0.00283204
24.72,-0.00237485,-0.00231434,-0.0027573
24.84,-0.00241748,-0.00222231,-0.00262749
24.96,-0.00249758,-0.00209852,-0.00260315
25.08,-0.00245939,-0.00209038,-0.00256408
