ProDataCSV

Title: Sat Jun 22 19:48:57 2024

Remarks:
#User: SX User
#Date: 2024/06/22
#HV (Absorbance channel): 206.528
#Samples per point: 4800
#Sample period: 12.5 us
#Temperature: 19.87 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Jun 22 19:55:29 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 60s,linear,oversampled,external trigger,pressure hold off (pressure released immediately)
Repeat,3 repeats in set., -iter option selected
Wavelength,Wavelength: 305nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,305
Time,Repeat
,0,1,2,
0.06,-0.00932219,-0.0092703,-0.00957938
0.12,-0.0093649,-0.00920208,-0.00975679
0.18,-0.00928383,-0.00903797,-0.00965791
0.24,-0.00922119,-0.00888735,-0.00956727
0.3,-0.00910678,-0.00874378,-0.00939632
0.36,-0.00899604,-0.00867076,-0.00924901
0.42,-0.00891951,-0.00856616,-0.0091157
0.48,-0.00880715,-0.00848026,-0.00895582
0.54,-0.00869933,-0.00841049,-0.00886082
0.6,-0.00860808,-0.00830618,-0.008711
0.66,-0.00849625,-0.00816653,-0.00858377
0.72,-0.00837271,-0.00807334,-0.00849483
0.78,-0.00824437,-0.00799848,-0.00841446
0.84,-0.0081332,-0.00799782,-0.00834199
0.9,-0.00806257,-0.00801002,-0.00829491
0.96,-0.00801302,-0.00804722,-0.00824147
1.02,-0.00797139,-0.00799848,-0.00819194
1.08,-0.00795838,-0.00794231,-0.00814555
1.14,-0.00795014,-0.00785716,-0.00807685
1.2,-0.00796483,-0.00778796,-0.00801241
1.26,-0.00798766,-0.00771711,-0.00795512
1.32,-0.00801068,-0.00765735,-0.00791685
1.38,-0.00797271,-0.00757819,-0.00792101
1.44,-0.00788492,-0.00752268,-0.00787185
1.5,-0.0077937,-0.00743806,-0.00782838
1.56,-0.00771691,-0.00739159,-0.00778445
1.62,-0.00761854,-0.00735545,-0.00774488
1.68,-0.00754115,-0.0073272,-0.00773095
1.74,-0.00746406,-0.00730317,-0.00772057
1.8,-0.00738477,-0.00724299,-0.00767164
1.86,-0.00731111,-0.00715011,-0.00762632
1.92,-0.00724686,-0.00706006,-0.00756242
1.98,-0.0071798,-0.00694783,-0.00751286
2.04,-0.00715882,-0.0068739,-0.00744259
2.1,-0.00709735,-0.00680648,-0.00733219
2.16,-0.00703245,-0.00678369,-0.0072572
2.22,-0.00693764,-0.00677977,-0.00716651
2.28,-0.006842,-0.00675968,-0.00707489
2.34,-0.00677656,-0.00674251,-0.00696022
2.4,-0.00673761,-0.00673379,-0.00687884
2.46,-0.00667471,-0.00671233,-0.00683466
2.52,-0.00665151,-0.00667822,-0.00678048
2.58,-0.00662474,-0.00660679,-0.00670285
2.64,-0.00660919,-0.00654795,-0.00668307
2.7,-0.00657686,-0.00647863,-0.00666074
2.76,-0.00658058,-0.00645272,-0.0066099
2.82,-0.00656549,-0.00643043,-0.00653448
2.88,-0.00652566,-0.00640503,-0.00650618
2.94,-0.00649037,-0.00635263,-0.00650582
3,-0.00647537,-0.0063236,-0.00645109
3.06,-0.00641758,-0.00626956,-0.006424
3.12,-0.0063787,-0.00622129,-0.00642329
3.18,-0.00629686,-0.006185,-0.00635855
3.24,-0.00618219,-0.00612696,-0.00629972
3.3,-0.00609251,-0.0060363,-0.00624165
3.36,-0.00602573,-0.00599616,-0.00623578
3.42,-0.00595327,-0.00593677,-0.00620046
3.48,-0.0059144,-0.00589908,-0.00618878
3.54,-0.00583907,-0.00590639,-0.00616448
3.6,-0.00582446,-0.00583917,-0.00613283
3.66,-0.00579253,-0.00577608,-0.00608184
3.72,-0.00576101,-0.00575626,-0.00605942
3.78,-0.00572908,-0.00569791,-0.00601955
3.84,-0.00569229,-0.00564497,-0.00598217
3.9,-0.00561615,-0.00556861,-0.00590618
3.96,-0.00555006,-0.00551402,-0.00588779
4.02,-0.00546224,-0.00545937,-0.00584387
4.08,-0.00535281,-0.00540093,-0.00576949
4.14,-0.0053027,-0.00533144,-0.00569469
4.2,-0.00529231,-0.00528464,-0.00558834
4.26,-0.00526577,-0.00526669,-0.00549966
4.32,-0.00527625,-0.00524966,-0.00542982
4.38,-0.00528643,-0.00529047,-0.00539515
4.44,-0.00532689,-0.00525523,-0.00539367
4.5,-0.00539894,-0.00523815,-0.00540349
4.56,-0.0053925,-0.00520751,-0.00540758
4.62,-0.00541627,-0.00520945,-0.00539152
4.68,-0.00542415,-0.0052494,-0.00540073
4.74,-0.00541049,-0.00527109,-0.00538012
4.8,-0.00541873,-0.00525314,-0.00536483
4.86,-0.00541106,-0.00526649,-0.00532392
4.92,-0.00537475,-0.0051874,-0.00529211
4.98,-0.00538462,-0.00514387,-0.00525513
5.04,-0.00532085,-0.00510677,-0.00521958
5.1,-0.00529063,-0.00505182,-0.00517871
5.16,-0.00522684,-0.0049427,-0.0051166
5.22,-0.00514653,-0.00485731,-0.00502776
5.28,-0.00508283,-0.00477437,-0.00494838
5.34,-0.00504547,-0.00479362,-0.00485143
5.4,-0.0049556,-0.00476807,-0.00480053
5.46,-0.00491572,-0.00481308,-0.00475194
5.52,-0.00486131,-0.00485332,-0.00472787
5.58,-0.00482828,-0.00486131,-0.00467896
5.64,-0.00475926,-0.00487559,-0.00464869
5.7,-0.00469269,-0.00488455,-0.00462948
5.76,-0.00465028,-0.00483709,-0.00459419
5.82,-0.00461022,-0.00479854,-0.00454844
5.88,-0.00454332,-0.00471246,-0.00452979
5.94,-0.00454091,-0.00467031,-0.00450853
6,-0.00453153,-0.00460367,-0.00443361
6.06,-0.00454409,-0.00456227,-0.00439641
6.12,-0.00454424,-0.00449316,-0.00439518
6.18,-0.00453666,-0.00442367,-0.004392
6.24,-0.00453983,-0.00434643,-0.00436437
6.3,-0.00452544,-0.00430317,-0.00436853
6.36,-0.0044886,-0.00422725,-0.0043513
6.42,-0.00447927,-0.00415813,-0.0042901
6.48,-0.00444914,-0.0041469,-0.00423678
6.54,-0.00441573,-0.00414849,-0.00420115
6.6,-0.00438723,-0.00414464,-0.0041689
6.66,-0.0043553,-0.00417926,-0.00414921
6.72,-0.00430281,-0.00414085,-0.00412639
6.78,-0.00420874,-0.00412116,-0.00412993
6.84,-0.00413228,-0.00411075,-0.00413649
6.9,-0.00408669,-0.00410936,-0.0041528
6.96,-0.00399857,-0.00410398,-0.00419351
7.02,-0.00389822,-0.00413044,-0.00422981
7.08,-0.00383126,-0.00408146,-0.00424063
7.14,-0.00379513,-0.00400688,-0.00424042
7.2,-0.00374899,-0.00392737,-0.00419397
7.26,-0.00371111,-0.00388909,-0.00417592
7.32,-0.00366352,-0.00385553,-0.00412162
7.38,-0.00361413,-0.00380447,-0.00404433
7.44,-0.0035633,-0.00378943,-0.0039643
7.5,-0.00353044,-0.00375941,-0.0038855
7.56,-0.00351631,-0.00371008,-0.0037686
