ProDataCSV

Title: Sat Jun 22 19:44:12 2024

Remarks:
#User: SX User
#Date: 2024/06/22
#HV (Absorbance channel): 206.528
#Samples per point: 4800
#Sample period: 12.5 us
#Temperature: 19.87 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Jun 22 19:50:22 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 60s,linear,oversampled,external trigger,pressure hold off (pressure released immediately)
Repeat,3 repeats in set., -iter option selected
Wavelength,Wavelength: 305nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,305
Time,Repeat
,0,1,2,
0.06,-0.00913263,-0.00928286,-0.0089156
0.12,-0.00953506,-0.00956798,-0.00937392
0.18,-0.00946065,-0.00952129,-0.00926579
0.24,-0.00938395,-0.00949069,-0.0091594
0.3,-0.00921379,-0.00940999,-0.00901211
0.36,-0.00911423,-0.00931874,-0.00894837
0.42,-0.00899507,-0.00920324,-0.00881796
0.48,-0.00891155,-0.00908315,-0.0087591
0.54,-0.00884074,-0.00897078,-0.00867233
0.6,-0.00875398,-0.00884682,-0.00855595
0.66,-0.0087008,-0.0087176,-0.00845437
0.72,-0.00864199,-0.00857692,-0.00835778
0.78,-0.00857423,-0.00841044,-0.00825264
0.84,-0.00848305,-0.00830435,-0.00819052
0.9,-0.00840156,-0.00817055,-0.00811954
0.96,-0.00831593,-0.00801332,-0.00801866
1.02,-0.00815292,-0.00787877,-0.00793388
1.08,-0.00805469,-0.00780936,-0.00785507
1.14,-0.00798232,-0.00767663,-0.00778999
1.2,-0.00793637,-0.0075903,-0.00774173
1.26,-0.00789122,-0.00753464,-0.00765094
1.32,-0.00788146,-0.00743485,-0.00756318
1.38,-0.00783474,-0.0073698,-0.00751464
1.44,-0.00777524,-0.0072854,-0.00749332
1.5,-0.00766472,-0.00721239,-0.00740961
1.56,-0.0075673,-0.0071992,-0.00731193
1.62,-0.00745678,-0.00718174,-0.00720282
1.68,-0.00736578,-0.007177,-0.00710881
1.74,-0.00729019,-0.00714532,-0.00704769
1.8,-0.0072238,-0.00709633,-0.00698263
1.86,-0.00714583,-0.00705456,-0.00692338
1.92,-0.00712434,-0.00700663,-0.00684546
1.98,-0.00707927,-0.00696964,-0.00676376
2.04,-0.00706317,-0.0069007,-0.00668149
2.1,-0.00701952,-0.00680969,-0.00660389
2.16,-0.00695211,-0.00675102,-0.00653683
2.22,-0.00689209,-0.00671656,-0.00649536
2.28,-0.00683415,-0.00666793,-0.00644186
2.34,-0.00675856,-0.00662102,-0.00643308
2.4,-0.00670983,-0.00657355,-0.00641538
2.46,-0.00663739,-0.0064666,-0.0064163
2.52,-0.00662245,-0.00638044,-0.00641248
2.58,-0.00659501,-0.00629003,-0.00640783
2.64,-0.00658905,-0.00625063,-0.00639539
2.7,-0.00654448,-0.00620843,-0.00636554
2.76,-0.00654142,-0.00615611,-0.00630896
2.82,-0.00654514,-0.00607147,-0.00628885
2.88,-0.006515,-0.0059908,-0.00624037
2.94,-0.00647231,-0.00591313,-0.00625155
3,-0.00639574,-0.00584346,-0.00622976
3.06,-0.00629375,-0.00580877,-0.00618337
3.12,-0.00621858,-0.00581072,-0.00609128
3.18,-0.00617688,-0.00583212,-0.00604492
3.24,-0.0061802,-0.00585306,-0.00596935
3.3,-0.00616086,-0.00587584,-0.00591573
3.36,-0.00615453,-0.00588141,-0.00582446
3.42,-0.00612957,-0.00591543,-0.00578471
3.48,-0.00613697,-0.00595883,-0.00572596
3.54,-0.0061506,-0.00596736,-0.0057323
3.6,-0.00611675,-0.00593075,-0.00573848
3.66,-0.00615463,-0.00596113,-0.00568059
3.72,-0.00613646,-0.00596767,-0.00557843
3.78,-0.00609705,-0.00596083,-0.00551811
3.84,-0.00610409,-0.00596231,-0.00545712
3.9,-0.00602639,-0.00593519,-0.00541857
3.96,-0.00597701,-0.00586175,-0.00538038
4.02,-0.00594944,-0.00582328,-0.00537915
4.08,-0.00591977,-0.00576556,-0.00534494
4.14,-0.00576755,-0.00570915,-0.00535783
4.2,-0.00575452,-0.00559836,-0.00537946
4.26,-0.00562013,-0.00548734,-0.0054129
4.32,-0.00549797,-0.00539101,-0.00542185
4.38,-0.00545222,-0.00530004,-0.00540426
4.44,-0.00533619,-0.00516648,-0.00537296
4.5,-0.00517973,-0.00502244,-0.00536959
4.56,-0.00517968,-0.0049019,-0.00539321
4.62,-0.00505704,-0.00484544,-0.00541796
4.68,-0.00506072,-0.00480591,-0.00542103
4.74,-0.00510386,-0.0048099,-0.00540758
4.8,-0.0050425,-0.00481031,-0.0053389
4.86,-0.00513486,-0.00483479,-0.00521733
4.92,-0.0051012,-0.00477688,-0.00513599
4.98,-0.00509741,-0.00475112,-0.00507024
5.04,-0.00508625,-0.00468649,-0.00501748
5.1,-0.00503759,-0.00468695,-0.00495667
5.16,-0.0049688,-0.0046721,-0.00492049
5.22,-0.00496691,-0.00467169,-0.00489443
5.28,-0.00495775,-0.00474436,-0.00486817
5.34,-0.00494613,-0.00481845,-0.00480791
5.4,-0.00488603,-0.00480791,-0.0047714
5.46,-0.00488747,-0.00485076,-0.00470723
5.52,-0.00488025,-0.00488342,-0.00458999
5.58,-0.00484687,-0.00485962,-0.00453082
5.64,-0.00483566,-0.00482557,-0.00454501
5.7,-0.00482214,-0.00477304,-0.00452672
5.76,-0.00474395,-0.00473033,-0.00452759
5.82,-0.00468782,-0.00468209,-0.00443976
5.88,-0.00463553,-0.00458497,-0.00437478
5.94,-0.00459839,-0.00456448,-0.00432045
6,-0.00456581,-0.00452144,-0.00425493
6.06,-0.00453107,-0.00445703,-0.00421515
6.12,-0.00445011,-0.00441434,-0.00423525
6.18,-0.0044001,-0.0043143,-0.00426016
6.24,-0.00438359,-0.00422971,-0.00433664
6.3,-0.0043409,-0.00419105,-0.00436202
6.36,-0.00431891,-0.00418049,-0.00436653
6.42,-0.00428595,-0.00419587,-0.004353
6.48,-0.00423842,-0.00420038,-0.00433347
6.54,-0.00422027,-0.00416264,-0.00430615
6.6,-0.00425452,-0.00414823,-0.00430235
6.66,-0.00429723,-0.00413777,-0.00424996
6.72,-0.00429579,-0.00411044,-0.00423683
6.78,-0.00430435,-0.00409131,-0.00420935
6.84,-0.00432793,-0.0040949,-0.00421381
6.9,-0.00433536,-0.00405797,-0.00419202
6.96,-0.00428943,-0.00401837,-0.0041308
7.02,-0.00424852,-0.00392485,-0.00407915
7.08,-0.00418684,-0.00389622,-0.00405674
7.14,-0.00410644,-0.00389166,-0.00395497
7.2,-0.0040154,-0.00388144,-0.00384619
7.26,-0.00390771,-0.0038856,-0.00376136
7.32,-0.00385404,-0.00390012,-0.00368945
7.38,-0.00379518,-0.00389089,-0.00361557
7.44,-0.00379267,-0.00389607,-0.00356674
7.5,-0.00377732,-0.00385173,-0.00354825
7.56,-0.00374242,-0.00383983,-0.00357126
