ProDataCSV

Title: Sat Jun 22 19:39:41 2024

Remarks:
#User: SX User
#Date: 2024/06/22
#HV (Absorbance channel): 206.528
#Samples per point: 4800
#Sample period: 12.5 us
#Temperature: 19.92 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Jun 22 19:44:52 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 60s,linear,oversampled,external trigger,pressure hold off (pressure released immediately)
Repeat,3 repeats in set., -iter option selected
Wavelength,Wavelength: 305nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,305
Time,Repeat
,0,1,2,
0.06,-0.00807792,-0.00800168,-0.00825361
0.12,-0.00848874,-0.00834692,-0.00857352
0.18,-0.00853478,-0.008349,-0.00853737
0.24,-0.00856874,-0.00834783,-0.00846483
0.3,-0.00852057,-0.0082021,-0.00835712
0.36,-0.00846259,-0.00811654,-0.00826179
0.42,-0.00835062,-0.00799274,-0.00820647
0.48,-0.00822242,-0.00783586,-0.00815424
0.54,-0.00810236,-0.00769819,-0.00805947
0.6,-0.00800677,-0.00758002,-0.00799157
0.66,-0.00781862,-0.00740823,-0.00789809
0.72,-0.0076866,-0.00726544,-0.00777743
0.78,-0.0075755,-0.00712251,-0.00764041
0.84,-0.00747144,-0.00701361,-0.007573
0.9,-0.00736207,-0.00694085,-0.00748696
0.96,-0.00728372,-0.00685902,-0.00745098
1.02,-0.00717939,-0.00681381,-0.00734527
1.08,-0.00710132,-0.00676753,-0.00726453
1.14,-0.00696653,-0.00674694,-0.0072266
1.2,-0.00681504,-0.00676611,-0.00717532
1.26,-0.0067341,-0.0067813,-0.00715205
1.32,-0.00666232,-0.00679567,-0.00713025
1.38,-0.00660638,-0.00681539,-0.00706755
1.44,-0.00655549,-0.00681896,-0.00702053
1.5,-0.00651352,-0.00683165,-0.00694305
1.56,-0.00652234,-0.00679113,-0.00688389
1.62,-0.00651939,-0.0067576,-0.00680851
1.68,-0.00651745,-0.0066407,-0.00675296
1.74,-0.00648695,-0.00660628,-0.00664126
1.8,-0.00643502,-0.0064616,-0.00656518
1.86,-0.00633452,-0.00644456,-0.00650781
1.92,-0.00626431,-0.00640487,-0.00646675
1.98,-0.00619021,-0.00632824,-0.00641457
2.04,-0.00613896,-0.00627538,-0.00634768
2.1,-0.00613564,-0.00618908,-0.00632059
2.16,-0.00612176,-0.00615014,-0.00631875
2.22,-0.0061359,-0.00610542,-0.00633319
2.28,-0.00613396,-0.006051,-0.00632299
2.34,-0.00608133,-0.00592171,-0.00629059
2.4,-0.00604717,-0.00583462,-0.00620991
2.46,-0.00597359,-0.00576883,-0.0061604
2.52,-0.00591272,-0.00564599,-0.00612094
2.58,-0.00586951,-0.00564742,-0.00606223
2.64,-0.00581542,-0.00556841,-0.00592804
2.7,-0.00577378,-0.00556023,-0.00583518
2.76,-0.00570399,-0.00558916,-0.0057466
2.82,-0.00563649,-0.00559565,-0.00572065
2.88,-0.00559039,-0.00558246,-0.0057021
2.94,-0.00558083,-0.00557572,-0.00574573
3,-0.00553585,-0.00547624,-0.00577628
3.06,-0.00551453,-0.00542241,-0.00576489
3.12,-0.00546004,-0.00543877,-0.00573807
3.18,-0.00542328,-0.00537889,-0.00573429
3.24,-0.00535051,-0.00543596,-0.00569888
3.3,-0.00526766,-0.00544127,-0.00569418
3.36,-0.00518965,-0.00532469,-0.00566173
3.42,-0.00514903,-0.00530571,-0.0056324
3.48,-0.00507213,-0.00526664,-0.00562713
3.54,-0.00500837,-0.00525922,-0.00566004
3.6,-0.00495161,-0.00523528,-0.00563761
3.66,-0.00490042,-0.00514827,-0.00562289
3.72,-0.00481589,-0.00514909,-0.00555624
3.78,-0.00479536,-0.00513686,-0.00546842
3.84,-0.00476049,-0.0051211,-0.00533231
3.9,-0.00473079,-0.00511491,-0.00520602
3.96,-0.00470426,-0.00505765,-0.0050795
4.02,-0.00470165,-0.00499286,-0.00500811
4.08,-0.00469412,-0.00490344,-0.00492412
4.14,-0.00471102,-0.00485097,-0.00481902
4.2,-0.00473156,-0.00483361,-0.00472516
4.26,-0.00476172,-0.00481221,-0.00466385
4.32,-0.00477785,-0.004799,-0.00462697
4.38,-0.00482025,-0.00476326,-0.00461243
4.44,-0.00478707,-0.00473801,-0.00459409
4.5,-0.00475071,-0.0047102,-0.00454967
4.56,-0.00469018,-0.00468244,-0.00452118
4.62,-0.00463517,-0.00466652,-0.004522
4.68,-0.00459296,-0.00466621,-0.00448957
4.74,-0.00454465,-0.00464342,-0.0044888
4.8,-0.00448639,-0.0046595,-0.00447635
4.86,-0.00441937,-0.0046532,-0.00448132
4.92,-0.00435997,-0.00460387,-0.00452708
4.98,-0.00430768,-0.00456704,-0.0045988
5.04,-0.00423709,-0.00452585,-0.00458645
5.1,-0.00422807,-0.00444284,-0.00455561
5.16,-0.00417859,-0.004388,-0.00452631
5.22,-0.00411177,-0.00428661,-0.00449726
5.28,-0.00408136,-0.00423022,-0.0044331
5.34,-0.00406705,-0.00416946,-0.00440712
5.4,-0.0040175,-0.00412813,-0.00433588
5.46,-0.00399611,-0.004067,-0.00425211
5.52,-0.00394573,-0.0040096,-0.00420689
5.58,-0.00391531,-0.00397759,-0.00419397
5.64,-0.00390315,-0.00401335,-0.00417285
5.7,-0.00384019,-0.00403253,-0.00411105
5.76,-0.00381309,-0.00402453,-0.00405715
5.82,-0.00380555,-0.00398026,-0.00402227
5.88,-0.00379693,-0.00397015,-0.00398523
5.94,-0.00385035,-0.00391285,-0.00399437
6,-0.0039052,-0.00387503,-0.003962
6.06,-0.0039345,-0.00383942,-0.00390618
6.12,-0.00391726,-0.00382387,-0.00388498
6.18,-0.00385322,-0.00377316,-0.00384783
6.24,-0.00383439,-0.00372209,-0.00383362
6.3,-0.00381853,-0.00366968,-0.00379313
6.36,-0.00383069,-0.00367441,-0.00376444
6.42,-0.00382695,-0.00366003,-0.00374047
6.48,-0.00381653,-0.00366316,-0.00373703
6.54,-0.00378312,-0.0036168,-0.00375464
6.6,-0.00378943,-0.00358456,-0.00380904
6.66,-0.0037087,-0.00355755,-0.00384835
6.72,-0.00365613,-0.00355437,-0.00387616
6.78,-0.0036224,-0.00354297,-0.00386692
6.84,-0.00359329,-0.00355252,-0.00386749
6.9,-0.00355318,-0.00350014,-0.00379528
6.96,-0.0035461,-0.00347189,-0.00377568
7.02,-0.00348083,-0.00345859,-0.00371942
7.08,-0.00345576,-0.00339633,-0.00363421
7.14,-0.00339263,-0.00334943,-0.0035216
7.2,-0.00334286,-0.00332667,-0.00343419
7.26,-0.00328608,-0.00327935,-0.0033669
7.32,-0.00319276,-0.00322555,-0.00335498
7.38,-0.00309022,-0.00316265,-0.00333561
7.44,-0.00304298,-0.0031149,-0.00330961
7.5,-0.00297305,-0.00309022,-0.0032736
7.56,-0.0029567,-0.00305809,-0.0032699
