ProDataCSV

Title: Sat Jun 22 19:23:21 2024

Remarks:
#User: SX User
#Date: 2024/06/22
#HV (Absorbance channel): 206.528
#Samples per point: 9600
#Sample period: 12.5 us
#Temperature: 19.87 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Jun 22 19:45:08 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 120s,linear,oversampled,external trigger,pressure hold off (pressure released immediately)
Repeat,3 repeats in set., -iter option selected
Wavelength,Wavelength: 305nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,305
Time,Repeat
,0,1,2,
0.12,-0.00887122,-0.00868309,-0.0090901
0.24,-0.00869735,-0.00841009,-0.00888654
0.36,-0.00858336,-0.00835118,-0.00879604
0.48,-0.00845685,-0.00837155,-0.0086768
0.6,-0.00832122,-0.00830435,-0.00853844
0.72,-0.00821216,-0.00824909,-0.00842456
0.84,-0.00813168,-0.00809423,-0.00841501
0.96,-0.00812086,-0.00796102,-0.00845863
1.08,-0.0080212,-0.00784755,-0.00847823
1.2,-0.0079291,-0.00783158,-0.00848498
1.32,-0.00781943,-0.00789595,-0.00844766
1.44,-0.00771269,-0.00793032,-0.00830786
1.56,-0.00761396,-0.00789097,-0.00818701
1.68,-0.00756079,-0.00788294,-0.00811354
1.8,-0.00749241,-0.00783413,-0.00803691
1.92,-0.00741892,-0.0077521,-0.00801693
2.04,-0.00736517,-0.00758211,-0.00800219
2.16,-0.0073104,-0.00744126,-0.00798456
2.28,-0.00731081,-0.00734537,-0.00797668
2.4,-0.00729584,-0.00725373,-0.00795767
2.52,-0.00724986,-0.00718627,-0.00794135
2.64,-0.00719182,-0.00720903,-0.00793479
2.76,-0.00709516,-0.00723052,-0.00788858
2.88,-0.00704315,-0.00713957,-0.00773842
3,-0.00699679,-0.00701962,-0.00759747
3.12,-0.00701559,-0.00692531,-0.00751897
3.24,-0.00704519,-0.00691156,-0.00743169
3.36,-0.00707045,-0.00697239,-0.00737876
3.48,-0.00710809,-0.00702919,-0.00733402
3.6,-0.00707585,-0.00702283,-0.0072795
3.72,-0.00703607,-0.00700551,-0.00729818
3.84,-0.0070052,-0.00690233,-0.00727145
3.96,-0.00688353,-0.00677029,-0.00728403
4.08,-0.00679113,-0.00668597,-0.0072158
4.2,-0.00674424,-0.00672477,-0.00714094
4.32,-0.00663254,-0.00680281,-0.00715872
4.44,-0.00657334,-0.0068501,-0.00729182
4.56,-0.00655723,-0.00680428,-0.00744549
4.68,-0.00653514,-0.00675749,-0.00751342
4.8,-0.0065048,-0.00667547,-0.00745256
4.92,-0.0065253,-0.00662647,-0.00741439
5.04,-0.00655396,-0.00658104,-0.00733351
5.16,-0.00655473,-0.00660501,-0.00721952
5.28,-0.00651413,-0.00661526,-0.00708018
5.4,-0.00644885,-0.00658237,-0.00696541
5.52,-0.00643492,-0.0065254,-0.006882
5.64,-0.00634416,-0.00645675,-0.00679475
5.76,-0.00622542,-0.00635365,-0.00670331
5.88,-0.00608781,-0.00630625,-0.00665044
6,-0.00603951,-0.00628416,-0.00661174
6.12,-0.00606305,-0.00629054,-0.0065995
6.24,-0.00603247,-0.00630447,-0.00666604
6.36,-0.00599392,-0.00635396,-0.00674516
6.48,-0.00600637,-0.00626992,-0.00680189
6.6,-0.00596154,-0.00613533,-0.00680362
6.72,-0.00599657,-0.00604681,-0.00676249
6.84,-0.00611609,-0.00608383,-0.00664233
6.96,-0.0061334,-0.00610358,-0.00648215
7.08,-0.0060703,-0.00608689,-0.00639299
7.2,-0.00596144,-0.00603793,-0.00632625
7.32,-0.00589449,-0.00594648,-0.00626803
7.44,-0.00584029,-0.00587155,-0.00616622
7.56,-0.00576765,-0.00586604,-0.00612359
7.68,-0.00569459,-0.00589714,-0.00614565
7.8,-0.00563092,-0.0060004,-0.0062172
7.92,-0.00557935,-0.00598636,-0.0062589
8.04,-0.00561109,-0.00592799,-0.00631289
8.16,-0.00559054,-0.00595276,-0.00623129
8.28,-0.00558027,-0.00593999,-0.00609036
8.4,-0.00566183,-0.00591747,-0.00599785
8.52,-0.0057466,-0.00591491,-0.00598432
8.64,-0.00575493,-0.00581588,-0.00601209
8.76,-0.00575345,-0.00575656,-0.00605718
8.88,-0.00575529,-0.00565928,-0.00607321
9,-0.00577766,-0.00557076,-0.00607979
9.12,-0.00579672,-0.00552782,-0.00605335
9.24,-0.00577669,-0.00555067,-0.0060436
9.36,-0.00569684,-0.00557475,-0.00596981
9.48,-0.00557853,-0.00559166,-0.00593493
9.6,-0.00552409,-0.00559662,-0.00591543
9.72,-0.00553728,-0.00552915,-0.00587947
9.84,-0.00549516,-0.00552634,-0.00585572
9.96,-0.00542363,-0.00551428,-0.00582676
10.08,-0.00533272,-0.00550441,-0.00572668
10.2,-0.0052982,-0.00548698,-0.00564681
10.32,-0.00536729,-0.00539766,-0.00563848
10.44,-0.00536759,-0.00528096,-0.00565473
10.56,-0.00532673,-0.00521876,-0.00566725
10.68,-0.00526485,-0.00520326,-0.00566704
10.8,-0.00518873,-0.00515456,-0.0056278
10.92,-0.00519416,-0.00518485,-0.00559764
11.04,-0.00521585,-0.00521881,-0.00559402
11.16,-0.0051475,-0.00520822,-0.00556882
11.28,-0.00510309,-0.0052205,-0.00562023
11.4,-0.00507674,-0.00519932,-0.00566526
11.52,-0.00506384,-0.00512243,-0.00561063
11.64,-0.00507689,-0.00512683,-0.00558543
11.76,-0.00502039,-0.00514801,-0.00555558
11.88,-0.00503411,-0.00519692,-0.00547088
12,-0.00503902,-0.00522654,-0.00539669
12.12,-0.00500745,-0.0052162,-0.00536928
12.24,-0.00497193,-0.00518745,-0.00536233
12.36,-0.00493748,-0.005132,-0.00537122
12.48,-0.00496901,-0.00505893,-0.00538344
12.6,-0.00496077,-0.0049644,-0.00537061
12.72,-0.00495473,-0.00493553,-0.00536386
12.84,-0.00487078,-0.0048804,-0.00534468
12.96,-0.00482229,-0.00482286,-0.00530091
13.08,-0.00487283,-0.00480238,-0.00522372
13.2,-0.00481344,-0.00471835,-0.00518254
13.32,-0.00470001,-0.00460541,-0.00513174
13.44,-0.00456273,-0.00448901,-0.00512182
13.56,-0.00441839,-0.0044209,-0.00513645
13.68,-0.00434172,-0.00445713,-0.00507853
13.8,-0.00437944,-0.00453661,-0.00498334
13.92,-0.00442869,-0.00455264,-0.00493482
14.04,-0.00446943,-0.00449157,-0.00487436
14.16,-0.00451427,-0.00445119,-0.00486131
14.28,-0.00453379,-0.00442874,-0.00487303
14.4,-0.00452943,-0.00443782,-0.00486919
14.52,-0.00456448,-0.00444048,-0.00488245
14.64,-0.00451908,-0.00446964,-0.0048975
14.76,-0.00446764,-0.00448742,-0.0048118
14.88,-0.00444156,-0.0044826,-0.00477816
15,-0.0044826,-0.00446595,-0.0048481
15.12,-0.0045365,-0.00444663,-0.00490451
