ProDataCSV

Title: Mon Apr 22 15:27:14 2024

Remarks:
#User: SX User
#Date: 2024/04/22
#Samples per point: 20
#Sample period: 1.00 ms

Last Modified: Mon Apr 22 15:48:45 2024 by unknown.

Options:

Available Dimensions:,2
Wavelength,Wavelength: 175.091nm - 722.055nm,Step Size: 2.2nm
Time,25 time points over 0.5s,linear,oversampled,external trigger,pressure hold in operation

Available Properties: ,2
PhotodiodeArray,PhotodiodeArray
Count,

Data:


PhotodiodeArray
Wavelength,Time
,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,
175.091,-0,-0.000820198,0.00164506,0.00082175,-0,-0.000820198,0.00164506,-0,0.00082175,-0.00163885,0.00082175,-0.00163885,0.00082175,-0.00163885,-0.00489811,-0.00163885,-0.000820198,-0.000820198,-0.00408559,0.00082175,0.00082175,-0.00163885,-0.00163885,0.00082175,0.00164506
177.304,-0,-0.000820198,0.00164506,0.00082175,-0,-0.000820198,0.00164506,-0,0.00082175,-0.00163885,0.00082175,-0.00163885,0.00082175,-0.00163885,-0.00489811,-0.00163885,-0.000820198,-0.000820198,-0.00408559,0.00082175,0.00082175,-0.00163885,-0.00163885,0.00082175,0.00164506
179.517,-0.00244215,-0.000815577,-0.00325316,0.000817111,-0.000815577,-0.00406265,0.00327771,-0.000815577,-0.000815577,0.00327771,-0.00244215,-0.00162962,-0.000815577,0.00327771,-0.00325316,-0.000815577,-0.000815577,-0.00162962,0.000817111,-0.00244215,0.00163576,0.00163576,-0.000815577,-0.00487064,-0.000815577
181.73,0.00082175,0.00082175,0.00082175,0.00082175,0.00082175,-0.00163885,0.00082175,0.00082175,0.00082175,0.00082175,-0,-0.00245596,-0.000820198,0.00164506,0.00082175,-0.000820198,-0.000820198,0.00164506,-0,0.00082175,-0.00163885,-0.00163885,0.00164506,-0.00163885,0.00164506
183.941,-0.000820198,-0.00163885,-0.000820198,-0.00163885,-0,0.00082175,0.00164506,-0.00163885,0.00164506,0.00082175,-0.00245596,0.00082175,-0.00163885,0.00082175,0.00082175,-0.00245596,0.00082175,0.00082175,0.00082175,-0,0.00082175,-0.00163885,0.00082175,0.00164506,-0
186.153,-0,-0.000823307,0.000824871,0.000824871,-0,-0,-0,-0,-0,-0,-0,0.000824871,-0.000823307,0.000824871,-0,-0.000823307,-0,-0.000823307,-0,-0.000823307,-0,-0,-0,-0.00328391,-0
188.363,-0,-0.000823307,-0.000823307,-0,-0.00164506,-0,-0,-0,-0,-0.000823307,-0,-0.000823307,-0,-0,-0.000823307,-0,-0,-0,-0.000823307,-0.000823307,-0.000823307,-0,-0,-0,-0
190.574,0.000824871,-0,0.000824871,-0,-0,-0,0.000824871,-0,-0,0.000824871,-0,-0,0.000824871,-0,0.000824871,0.000824871,0.000824871,0.000824871,-0,-0,0.000824871,0.000824871,-0,-0,0.000824871
192.783,-0.000823307,-0,0.000824871,0.000824871,-0,-0,-0,-0.000823307,0.000824871,-0.00246525,-0.000823307,-0.000823307,-0,-0,-0,-0,-0.000823307,-0,-0,-0,-0,0.000824871,-0,-0,0.000824871
194.992,-0,-0.000824871,-0,-0,-0,-0.000824871,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.000824871,-0,-0,-0,-0,-0.000824871,0.000826441
